epoch,accuracy,loss,val_accuracy,val_loss
0,0.6590909361839294,0.9276202321052551,0.796875,0.5574619770050049
1,0.9082792401313782,0.37219563126564026,0.8828125,0.37775635719299316
2,0.9431818127632141,0.25018563866615295,0.9296875,0.2798091173171997
3,0.9667207598686218,0.18626081943511963,0.921875,0.31772124767303467
4,0.9772727489471436,0.15772052109241486,0.9296875,0.28396549820899963
5,0.986201286315918,0.1261352002620697,0.9453125,0.22809343039989471
6,0.9870129823684692,0.10701330751180649,0.953125,0.2122892439365387
7,0.9902597665786743,0.1076570451259613,0.9765625,0.18111568689346313
8,0.9943181872367859,0.08269526809453964,0.953125,0.19803214073181152
9,0.9967532753944397,0.06978568434715271,0.9453125,0.19046685099601746
10,0.9951298832893372,0.06789332628250122,0.984375,0.13779191672801971
11,0.9983766078948975,0.05167349427938461,0.9609375,0.20652252435684204
12,1.0,0.04400615394115448,0.9609375,0.17371082305908203
13,1.0,0.03908510506153107,0.96875,0.16310898959636688
14,1.0,0.03680352866649628,0.9609375,0.16676627099514008
15,1.0,0.03362765163183212,0.9765625,0.15604563057422638
16,1.0,0.03163224831223488,0.9765625,0.15227338671684265
17,0.9959415793418884,0.04078945145010948,0.8671875,0.4345639646053314
18,0.9488636255264282,0.21310758590698242,0.921875,0.3442278206348419
19,0.9870129823684692,0.09668336808681488,0.921875,0.21867160499095917
20,0.9910714030265808,0.07352691888809204,0.9375,0.2787097692489624
21,0.9991883039474487,0.045732609927654266,0.9609375,0.1945311725139618
22,1.0,0.031143872067332268,0.9609375,0.17543426156044006
23,1.0,0.027921060100197792,0.96875,0.1659536063671112
24,1.0,0.025675682350993156,0.984375,0.15237990021705627
25,1.0,0.02419966831803322,0.96875,0.1615918129682541
26,1.0,0.022706380113959312,0.96875,0.16221804916858673
27,1.0,0.021623874083161354,0.96875,0.16327689588069916
28,1.0,0.020773131400346756,0.96875,0.16400884091854095
29,1.0,0.019899241626262665,0.9609375,0.1667506843805313
