epoch,accuracy,loss,val_accuracy,val_loss
0,0.6846153736114502,0.8723324537277222,0.9285714030265808,0.3141445219516754
1,0.954807698726654,0.27975401282310486,0.9553571343421936,0.26709678769111633
2,0.9798076748847961,0.17196176946163177,0.9553571343421936,0.17032425105571747
3,0.9894230961799622,0.12907177209854126,0.9553571343421936,0.18933185935020447
4,0.995192289352417,0.10604408383369446,0.9642857313156128,0.17381837964057922
5,0.9971153736114502,0.08395492285490036,0.9732142686843872,0.16100762784481049
6,0.9990384578704834,0.07235527038574219,0.9910714030265808,0.13091297447681427
7,0.9990384578704834,0.06538968533277512,0.9910714030265808,0.09548567235469818
8,1.0,0.05943126603960991,0.9910714030265808,0.0985511988401413
9,1.0,0.054071616381406784,0.9910714030265808,0.10559067875146866
10,1.0,0.050452519208192825,0.9910714030265808,0.09774988144636154
11,1.0,0.04707223176956177,0.9910714030265808,0.09946125745773315
12,1.0,0.043361976742744446,0.9910714030265808,0.07630278915166855
13,1.0,0.03932672739028931,0.9910714030265808,0.07900884002447128
14,1.0,0.036531053483486176,0.9910714030265808,0.07820433378219604
15,1.0,0.03432482108473778,0.9910714030265808,0.06910378485918045
16,1.0,0.03199664503335953,0.9910714030265808,0.08420048654079437
17,1.0,0.030065111815929413,0.9910714030265808,0.0761389210820198
18,1.0,0.028524648398160934,0.9910714030265808,0.06619499623775482
19,1.0,0.027126315981149673,0.9910714030265808,0.0615808367729187
20,1.0,0.025970779359340668,0.9910714030265808,0.0750671997666359
21,1.0,0.02476976439356804,0.9910714030265808,0.0648132711648941
22,1.0,0.02378050982952118,0.9910714030265808,0.055083148181438446
23,1.0,0.022653108462691307,0.9910714030265808,0.06478215008974075
24,1.0,0.02152641862630844,0.9910714030265808,0.06101331487298012
25,1.0,0.020847104489803314,0.9910714030265808,0.060648445039987564
26,1.0,0.020020220428705215,0.9910714030265808,0.06759557127952576
27,1.0,0.019266411662101746,0.9910714030265808,0.05588940903544426
28,1.0,0.01847851276397705,0.9910714030265808,0.06234677508473396
29,1.0,0.01789647340774536,0.9910714030265808,0.061839837580919266
